Attendance,Study_Hours,Assignment_Score,Previous_Test_Score,Sleep_Hours,Participation_Level,Internet_Access,Extra_Classes,Parent_Education,Screen_Time,Projects_Completed,Stress_Level,Performance
59,2.9,41,38,5.7,Low,Yes,No,Graduate,7.4,2,High,Poor
91,8.0,98,86,8.1,High,Yes,Yes,Postgraduate,1.3,8,Low,Excellent
57,2.4,59,59,5.2,Low,Yes,No,Graduate,6.5,5,Medium,Average
48,1.2,51,36,4.4,Low,No,No,School,6.9,1,High,Poor
95,7.6,93,99,9.0,High,Yes,Yes,Postgraduate,2.7,8,Low,Excellent
56,2.7,53,30,5.5,Low,No,No,Graduate,9.7,0,High,Poor
61,4.7,60,52,5.4,Medium,Yes,No,Graduate,5.0,3,Medium,Average
89,6.5,70,83,7.2,Medium,Yes,Yes,Graduate,5.1,8,Low,Good
88,9.2,89,85,7.9,High,Yes,Yes,Postgraduate,2.5,8,Low,Excellent
85,7.1,97,95,8.9,High,Yes,Yes,Postgraduate,1.1,7,Low,Excellent
82,5.0,72,83,6.7,Medium,Yes,Yes,Postgraduate,3.4,4,Low,Good
93,7.4,91,91,8.4,High,Yes,Yes,Postgraduate,1.5,9,Low,Excellent
42,2.7,52,36,5.9,Low,No,No,School,8.9,0,High,Poor
53,2.1,47,43,5.3,Low,Yes,No,School,8.3,0,High,Poor
89,9.9,96,97,8.2,High,Yes,Yes,Postgraduate,3.6,7,Low,Excellent
92,7.5,93,89,7.9,High,Yes,Yes,Postgraduate,3.4,10,Low,Excellent
91,6.5,96,92,9.0,High,Yes,Yes,Postgraduate,4.0,10,Low,Excellent
46,2.8,55,31,5.0,Low,No,No,Graduate,8.2,0,High,Poor
41,1.8,39,55,4.6,Low,Yes,No,School,10.0,0,High,Poor
89,9.9,95,95,7.9,High,Yes,Yes,Postgraduate,2.8,9,Low,Excellent
100,7.5,87,100,9.0,High,Yes,Yes,Postgraduate,3.3,8,Low,Excellent
56,3.6,51,68,6.6,Medium,Yes,Yes,Graduate,6.5,5,High,Average
89,6.2,79,74,7.1,High,Yes,Yes,Graduate,4.8,8,Medium,Good
85,9.7,95,92,8.2,High,Yes,Yes,Postgraduate,1.7,7,Low,Excellent
87,7.1,97,94,7.2,High,Yes,Yes,Postgraduate,2.1,7,Low,Excellent
58,3.9,59,50,5.9,Low,Yes,No,School,5.7,5,High,Average
71,5.0,58,66,5.4,Medium,Yes,No,School,5.8,2,High,Average
44,1.1,39,51,5.2,Low,No,No,School,10.0,1,High,Poor
77,6.0,84,75,7.7,Medium,Yes,Yes,Graduate,5.7,4,Medium,Good
52,1.6,38,31,5.2,Low,Yes,No,Graduate,8.4,2,High,Poor
68,4.3,59,69,6.4,Low,Yes,Yes,School,6.5,5,High,Average
56,3.6,66,61,5.5,Medium,Yes,Yes,School,7.3,5,High,Average
46,1.4,42,51,5.3,Low,No,No,Graduate,7.3,0,High,Poor
64,2.5,70,68,7.0,Low,Yes,Yes,Graduate,4.9,3,High,Average
62,4.2,57,62,5.3,Medium,Yes,Yes,Graduate,4.8,2,High,Average
73,2.4,70,55,6.0,Medium,Yes,Yes,School,7.8,4,Medium,Average
85,5.0,80,74,7.7,Medium,Yes,Yes,Graduate,2.8,5,Medium,Good
90,6.9,75,79,6.6,Medium,Yes,Yes,Postgraduate,3.9,5,Low,Good
96,6.0,90,92,7.6,High,Yes,Yes,Postgraduate,3.4,9,Low,Excellent
69,2.2,69,66,6.9,Medium,Yes,No,Graduate,4.9,3,High,Average
45,2.2,40,38,4.6,Low,No,No,Graduate,8.3,2,High,Poor
79,5.7,76,85,6.1,High,Yes,Yes,Graduate,5.6,7,Medium,Good
72,3.4,52,58,6.6,Medium,Yes,No,School,5.8,3,Medium,Average
56,2.9,48,48,5.0,Low,Yes,No,School,7.6,1,High,Poor
95,9.5,94,86,8.1,High,Yes,Yes,Postgraduate,1.3,7,Low,Excellent
98,8.3,92,94,7.7,High,Yes,Yes,Postgraduate,3.4,8,Low,Excellent
81,5.6,75,70,6.2,High,Yes,Yes,Graduate,4.6,8,Low,Good
73,6.3,79,78,7.3,High,Yes,Yes,Graduate,5.6,8,Medium,Good
57,2.2,55,36,4.1,Low,No,No,Graduate,7.6,0,High,Poor
58,2.9,42,37,5.3,Low,Yes,No,School,6.9,2,High,Poor
95,7.5,90,88,8.8,High,Yes,Yes,Postgraduate,3.9,10,Low,Excellent
58,1.6,39,54,5.6,Low,Yes,No,Graduate,9.0,1,High,Poor
57,3.4,67,58,5.9,Medium,Yes,Yes,Graduate,5.8,4,High,Average
89,6.1,76,79,6.2,Medium,Yes,Yes,Postgraduate,5.0,6,Medium,Good
55,2.1,50,41,6.0,Low,No,No,School,7.6,1,High,Poor
92,8.9,98,94,7.8,High,Yes,Yes,Postgraduate,1.8,10,Low,Excellent
88,8.8,91,94,8.7,High,Yes,Yes,Postgraduate,2.9,10,Low,Excellent
55,2.6,66,59,7.0,Low,Yes,Yes,School,6.5,3,High,Average
61,2.4,67,69,5.7,Low,Yes,Yes,Graduate,6.5,3,Medium,Average
60,4.8,67,61,5.5,Medium,Yes,No,Graduate,4.6,2,High,Average
71,4.4,77,83,6.4,High,Yes,Yes,Postgraduate,4.5,5,Medium,Good
95,8.6,99,97,8.6,High,Yes,Yes,Postgraduate,1.1,10,Low,Excellent
87,8.4,92,97,8.4,High,Yes,Yes,Postgraduate,1.0,7,Low,Excellent
88,7.7,93,96,7.3,High,Yes,Yes,Postgraduate,3.2,8,Low,Excellent
87,6.4,86,99,7.1,High,Yes,Yes,Postgraduate,3.2,10,Low,Excellent
85,6.2,72,77,7.2,High,Yes,Yes,Graduate,4.5,7,Medium,Good
51,1.2,44,42,4.9,Low,No,No,Graduate,7.4,1,High,Poor
91,7.3,98,87,9.0,High,Yes,Yes,Postgraduate,2.8,10,Low,Excellent
55,4.1,50,66,6.8,Low,Yes,No,School,7.4,3,High,Average
100,7.6,96,94,8.9,High,Yes,Yes,Postgraduate,1.9,8,Low,Excellent
68,3.1,67,70,5.7,Low,Yes,Yes,School,7.6,3,High,Average
74,3.7,69,50,6.5,Low,Yes,Yes,School,4.8,4,High,Average
87,5.1,85,74,6.1,High,Yes,Yes,Postgraduate,3.2,7,Low,Good
51,1.2,36,32,4.9,Low,Yes,No,Graduate,8.2,0,High,Poor
54,2.6,41,44,4.4,Low,No,No,Graduate,9.7,1,High,Poor
87,9.9,95,91,7.8,High,Yes,Yes,Postgraduate,1.4,9,Low,Excellent
71,5.0,54,53,6.1,Low,Yes,Yes,Graduate,5.5,5,Medium,Average
55,4.7,68,66,5.5,Low,Yes,Yes,Graduate,6.9,2,High,Average
79,5.8,83,78,7.5,High,Yes,Yes,Postgraduate,5.3,4,Medium,Good
45,1.3,48,30,5.5,Low,No,No,School,7.9,1,High,Poor
49,2.7,43,39,5.8,Low,Yes,No,School,8.2,2,High,Poor
68,2.7,66,52,6.9,Medium,Yes,No,School,7.3,5,High,Average
94,9.1,88,93,8.1,High,Yes,Yes,Postgraduate,1.4,8,Low,Excellent
56,3.8,58,56,6.0,Medium,Yes,Yes,Graduate,5.2,5,Medium,Average
94,9.1,85,92,7.8,High,Yes,Yes,Postgraduate,1.0,9,Low,Excellent
58,2.1,66,59,5.9,Low,Yes,No,Graduate,6.9,5,High,Average
56,4.1,56,51,5.9,Medium,Yes,No,Graduate,5.0,3,Medium,Average
43,1.5,46,30,5.6,Low,Yes,No,School,9.5,2,High,Poor
81,6.2,75,82,6.5,Medium,Yes,Yes,Postgraduate,2.5,6,Low,Good
99,6.0,85,87,8.5,High,Yes,Yes,Postgraduate,3.5,9,Low,Excellent
83,5.0,85,73,6.3,High,Yes,Yes,Graduate,4.7,6,Low,Good
96,9.9,93,100,7.7,High,Yes,Yes,Postgraduate,3.0,9,Low,Excellent
84,4.6,75,81,7.4,Medium,Yes,Yes,Graduate,2.1,8,Low,Good
42,1.5,48,35,4.4,Low,No,No,School,7.0,2,High,Poor
90,6.4,93,92,7.9,High,Yes,Yes,Postgraduate,3.1,10,Low,Excellent
75,6.6,73,81,7.8,Medium,Yes,Yes,Postgraduate,2.4,8,Medium,Good
61,2.9,67,55,6.6,Low,Yes,No,School,6.4,4,High,Average
86,8.1,91,88,7.2,High,Yes,Yes,Postgraduate,2.6,8,Low,Excellent
87,8.5,90,98,7.9,High,Yes,Yes,Postgraduate,2.3,9,Low,Excellent
49,2.1,45,32,4.3,Low,No,No,Graduate,7.0,2,High,Poor
81,5.4,80,78,6.8,High,Yes,Yes,Postgraduate,4.5,8,Medium,Good
72,2.4,66,63,5.7,Medium,Yes,No,School,7.0,5,Medium,Average
83,5.5,84,85,6.7,High,Yes,Yes,Graduate,2.9,6,Low,Good
75,3.3,61,70,5.1,Medium,Yes,Yes,Graduate,7.3,3,Medium,Average
85,7.4,96,91,7.9,High,Yes,Yes,Postgraduate,1.4,9,Low,Excellent
75,6.3,83,75,6.8,Medium,Yes,Yes,Graduate,2.4,7,Low,Good
61,2.3,70,58,6.5,Low,Yes,Yes,School,7.1,4,Medium,Average
89,9.0,90,94,7.0,High,Yes,Yes,Postgraduate,3.8,9,Low,Excellent
84,6.9,80,80,7.8,High,Yes,Yes,Postgraduate,3.9,7,Low,Good
68,2.9,61,53,6.6,Low,Yes,Yes,School,6.9,2,Medium,Average
70,2.4,55,51,5.9,Medium,Yes,Yes,Graduate,5.6,2,High,Average
92,7.5,91,88,8.3,High,Yes,Yes,Postgraduate,3.6,7,Low,Excellent
97,9.4,96,100,8.9,High,Yes,Yes,Postgraduate,2.0,7,Low,Excellent
88,5.2,77,78,7.4,Medium,Yes,Yes,Postgraduate,4.5,7,Low,Good
90,6.0,75,85,6.3,High,Yes,Yes,Postgraduate,5.6,5,Medium,Good
70,2.9,51,70,6.8,Low,Yes,Yes,School,7.0,2,High,Average
47,1.1,53,48,5.5,Low,Yes,No,School,10.0,2,High,Poor
90,6.6,74,73,7.7,High,Yes,Yes,Postgraduate,2.8,8,Low,Good
57,1.4,41,50,5.3,Low,Yes,No,Graduate,6.9,2,High,Poor
49,1.9,49,37,4.4,Low,No,No,Graduate,7.9,0,High,Poor
41,2.8,47,37,4.0,Low,No,No,Graduate,7.6,1,High,Poor
86,6.4,70,75,7.5,Medium,Yes,Yes,Postgraduate,4.9,7,Medium,Good
59,2.5,70,64,7.0,Medium,Yes,No,School,4.3,4,High,Average
70,3.7,64,57,5.7,Medium,Yes,Yes,School,6.0,4,Medium,Average
86,9.1,88,90,8.5,High,Yes,Yes,Postgraduate,3.2,9,Low,Excellent
93,9.2,99,99,8.1,High,Yes,Yes,Postgraduate,3.2,8,Low,Excellent
58,4.0,64,50,6.0,Medium,Yes,Yes,School,4.7,3,Medium,Average
47,2.5,35,55,4.2,Low,Yes,No,School,8.9,0,High,Poor
60,4.5,55,60,5.5,Low,Yes,Yes,School,5.7,5,High,Average
52,3.0,43,55,5.7,Low,Yes,No,Graduate,10.0,0,High,Poor
58,1.3,51,52,5.1,Low,Yes,No,School,6.3,1,High,Poor
83,6.7,83,85,6.8,Medium,Yes,Yes,Postgraduate,2.6,6,Low,Good
79,5.8,81,83,7.1,Medium,Yes,Yes,Postgraduate,5.9,6,Medium,Good
75,5.1,76,77,7.9,High,Yes,Yes,Postgraduate,5.6,8,Low,Good
45,1.7,49,48,5.8,Low,No,No,Graduate,8.3,2,High,Poor
91,9.3,85,97,8.3,High,Yes,Yes,Postgraduate,2.9,10,Low,Excellent
60,3.0,35,44,5.0,Low,No,No,Graduate,6.8,0,High,Poor
46,2.1,35,35,5.6,Low,Yes,No,Graduate,7.4,2,High,Poor
54,1.7,42,53,4.2,Low,Yes,No,School,9.8,1,High,Poor
62,5.0,66,60,7.0,Medium,Yes,Yes,Graduate,4.3,5,Medium,Average
85,6.8,91,99,8.5,High,Yes,Yes,Postgraduate,1.3,9,Low,Excellent
75,4.3,81,76,6.7,Medium,Yes,Yes,Graduate,3.8,7,Low,Good
48,1.7,48,51,5.2,Low,No,No,School,7.2,1,High,Poor
40,1.0,55,37,5.1,Low,No,No,Graduate,7.7,0,High,Poor
87,5.6,83,85,7.2,High,Yes,Yes,Graduate,3.0,4,Medium,Good
73,4.9,63,60,6.9,Medium,Yes,Yes,Graduate,6.6,2,Medium,Average
60,1.6,51,55,5.7,Low,Yes,No,School,9.4,1,High,Poor
59,3.7,63,59,5.6,Low,Yes,Yes,School,5.2,2,High,Average
81,6.9,83,74,7.4,High,Yes,Yes,Postgraduate,3.1,5,Low,Good
86,7.6,91,95,9.0,High,Yes,Yes,Postgraduate,2.0,7,Low,Excellent
86,6.1,92,95,7.9,High,Yes,Yes,Postgraduate,3.1,9,Low,Excellent
48,2.3,49,51,4.6,Low,Yes,No,School,9.1,1,High,Poor
50,1.2,43,49,5.1,Low,No,No,Graduate,7.6,1,High,Poor
100,6.1,100,89,7.4,High,Yes,Yes,Postgraduate,3.3,9,Low,Excellent
50,1.8,48,43,4.6,Low,Yes,No,Graduate,9.6,2,High,Poor
98,9.3,89,90,8.4,High,Yes,Yes,Postgraduate,3.0,7,Low,Excellent
52,2.5,55,35,4.2,Low,Yes,No,Graduate,7.9,0,High,Poor
97,8.1,95,91,7.1,High,Yes,Yes,Postgraduate,3.2,10,Low,Excellent
73,6.7,84,84,7.4,High,Yes,Yes,Graduate,5.8,7,Low,Good
99,7.6,86,86,8.7,High,Yes,Yes,Postgraduate,2.8,8,Low,Excellent
48,1.7,52,45,5.1,Low,Yes,No,Graduate,6.8,2,High,Poor
87,6.4,79,77,7.3,High,Yes,Yes,Graduate,2.4,4,Medium,Good
71,2.1,63,68,5.6,Medium,Yes,No,School,6.4,4,Medium,Average
86,5.6,85,72,6.8,Medium,Yes,Yes,Postgraduate,5.0,8,Medium,Good
74,2.0,54,66,6.5,Medium,Yes,Yes,School,4.8,4,High,Average
63,3.4,56,56,6.8,Medium,Yes,Yes,School,7.1,5,Medium,Average
94,6.2,93,90,8.3,High,Yes,Yes,Postgraduate,2.2,8,Low,Excellent
55,2.1,67,52,6.0,Medium,Yes,No,School,5.0,5,High,Average
71,2.3,55,60,6.3,Low,Yes,No,School,5.5,4,High,Average
85,5.8,80,75,7.2,Medium,Yes,Yes,Graduate,2.5,4,Low,Good
40,1.7,45,35,5.2,Low,Yes,No,Graduate,10.0,1,High,Poor
67,3.8,64,70,6.3,Low,Yes,Yes,Graduate,7.3,3,Medium,Average
85,6.1,91,97,7.2,High,Yes,Yes,Postgraduate,3.2,7,Low,Excellent
75,2.4,50,57,5.0,Medium,Yes,Yes,School,4.4,4,High,Average
75,4.5,74,80,6.3,High,Yes,Yes,Postgraduate,5.5,5,Medium,Good
73,5.2,84,76,6.5,High,Yes,Yes,Graduate,2.3,4,Low,Good
47,2.0,45,52,5.9,Low,No,No,Graduate,8.9,1,High,Poor
74,4.9,81,75,7.4,High,Yes,Yes,Postgraduate,2.8,8,Medium,Good
59,2.9,46,38,5.5,Low,Yes,No,School,8.1,2,High,Poor
89,7.0,81,73,6.5,Medium,Yes,Yes,Postgraduate,3.7,7,Medium,Good
71,4.9,72,80,7.0,Medium,Yes,Yes,Graduate,4.0,8,Medium,Good
75,2.6,68,57,5.8,Low,Yes,No,School,7.4,4,Medium,Average
75,2.6,66,54,7.0,Medium,Yes,No,Graduate,6.0,5,High,Average
85,8.3,92,85,7.9,High,Yes,Yes,Postgraduate,3.7,10,Low,Excellent
84,4.9,72,76,6.6,Medium,Yes,Yes,Postgraduate,3.4,7,Low,Good
40,1.4,52,43,5.8,Low,Yes,No,Graduate,8.8,0,High,Poor
89,9.1,95,87,8.4,High,Yes,Yes,Postgraduate,3.8,8,Low,Excellent
41,2.9,51,47,4.3,Low,No,No,School,8.8,2,High,Poor
98,9.0,86,87,7.3,High,Yes,Yes,Postgraduate,3.1,7,Low,Excellent
77,5.7,78,74,6.6,Medium,Yes,Yes,Graduate,4.1,5,Low,Good
92,6.3,100,92,7.1,High,Yes,Yes,Postgraduate,2.9,10,Low,Excellent
55,2.5,44,30,5.1,Low,Yes,No,School,8.8,0,High,Poor
55,1.5,37,41,5.2,Low,No,No,Graduate,6.8,0,High,Poor
41,2.1,52,38,4.8,Low,No,No,School,8.9,2,High,Poor
81,4.9,71,81,7.5,High,Yes,Yes,Graduate,2.9,5,Low,Good
77,6.5,70,70,6.6,High,Yes,Yes,Graduate,2.6,4,Medium,Good
91,7.6,88,99,8.6,High,Yes,Yes,Postgraduate,1.3,8,Low,Excellent
42,2.0,40,37,5.8,Low,Yes,No,Graduate,7.3,1,High,Poor
100,6.3,85,91,8.5,High,Yes,Yes,Postgraduate,2.9,10,Low,Excellent
91,8.2,87,88,7.5,High,Yes,Yes,Postgraduate,3.3,7,Low,Excellent
93,6.2,88,91,7.5,High,Yes,Yes,Postgraduate,3.3,7,Low,Excellent
56,3.7,53,54,6.7,Medium,Yes,No,Graduate,6.5,4,Medium,Average
41,1.2,53,48,5.3,Low,No,No,Graduate,8.7,0,High,Poor
89,6.2,84,80,6.7,Medium,Yes,Yes,Postgraduate,5.7,6,Low,Good
60,1.4,45,48,4.9,Low,No,No,School,7.5,2,High,Poor
93,8.3,96,93,8.1,High,Yes,Yes,Postgraduate,2.0,9,Low,Excellent
83,4.0,72,79,7.5,Medium,Yes,Yes,Graduate,2.5,6,Low,Good
63,2.1,54,51,5.1,Low,Yes,No,Graduate,6.1,3,High,Average
70,6.7,75,79,7.8,High,Yes,Yes,Postgraduate,3.3,4,Low,Good
82,5.7,83,79,6.5,High,Yes,Yes,Postgraduate,2.6,4,Low,Good
46,1.4,54,43,5.5,Low,Yes,No,School,9.3,2,High,Poor
58,2.2,54,33,4.4,Low,No,No,Graduate,8.9,1,High,Poor
92,9.8,92,85,8.0,High,Yes,Yes,Postgraduate,3.2,8,Low,Excellent
52,2.6,50,37,4.4,Low,No,No,School,6.5,0,High,Poor
59,1.5,39,43,4.7,Low,Yes,No,School,7.3,1,High,Poor
80,4.9,82,71,7.9,High,Yes,Yes,Postgraduate,2.1,7,Low,Good
85,6.1,100,90,7.3,High,Yes,Yes,Postgraduate,3.8,8,Low,Excellent
76,6.6,70,79,7.5,Medium,Yes,Yes,Postgraduate,2.4,7,Medium,Good
95,8.4,86,87,8.5,High,Yes,Yes,Postgraduate,1.8,10,Low,Excellent
58,3.7,68,68,5.8,Medium,Yes,Yes,School,7.0,4,High,Average
48,1.8,39,34,5.0,Low,No,No,Graduate,8.9,2,High,Poor
43,1.1,49,31,5.0,Low,Yes,No,School,8.3,0,High,Poor
89,8.0,85,86,8.2,High,Yes,Yes,Postgraduate,3.8,7,Low,Excellent
97,8.1,89,87,7.4,High,Yes,Yes,Postgraduate,3.3,10,Low,Excellent
53,1.9,49,42,4.6,Low,Yes,No,Graduate,7.4,0,High,Poor
66,4.2,63,64,5.8,Low,Yes,No,Graduate,6.2,5,Medium,Average
43,2.7,44,34,4.8,Low,No,No,School,6.5,1,High,Poor
88,6.2,94,92,8.1,High,Yes,Yes,Postgraduate,3.2,9,Low,Excellent
76,5.6,85,85,7.5,High,Yes,Yes,Graduate,5.6,8,Medium,Good
71,2.7,54,56,5.8,Low,Yes,No,School,4.7,5,High,Average
85,9.9,97,93,7.2,High,Yes,Yes,Postgraduate,4.0,7,Low,Excellent
86,6.5,81,71,7.2,Medium,Yes,Yes,Graduate,5.7,7,Medium,Good
79,5.4,81,85,6.1,High,Yes,Yes,Postgraduate,5.5,4,Low,Good
68,3.4,63,60,6.9,Low,Yes,No,School,4.2,3,Medium,Average
57,1.3,55,43,5.6,Low,No,No,School,9.8,2,High,Poor
88,5.0,72,80,7.6,Medium,Yes,Yes,Graduate,6.0,8,Low,Good
91,8.6,92,88,8.3,High,Yes,Yes,Postgraduate,3.4,10,Low,Excellent
85,4.1,72,75,6.2,High,Yes,Yes,Graduate,5.8,5,Medium,Good
61,4.8,52,60,5.8,Medium,Yes,Yes,School,5.2,4,Medium,Average
85,6.2,82,78,6.8,High,Yes,Yes,Graduate,5.5,4,Medium,Good
64,4.5,62,64,6.8,Low,Yes,No,School,5.9,4,High,Average
95,8.3,95,90,7.7,High,Yes,Yes,Postgraduate,2.8,10,Low,Excellent
87,7.3,86,93,7.7,High,Yes,Yes,Postgraduate,2.5,9,Low,Excellent
87,9.0,92,92,8.4,High,Yes,Yes,Postgraduate,2.3,8,Low,Excellent
100,9.9,97,91,7.6,High,Yes,Yes,Postgraduate,3.3,9,Low,Excellent
59,1.2,42,47,5.1,Low,No,No,Graduate,9.8,2,High,Poor
95,6.5,100,96,7.9,High,Yes,Yes,Postgraduate,1.9,9,Low,Excellent
59,2.5,46,30,5.7,Low,Yes,No,School,7.2,2,High,Poor
48,2.6,40,40,5.2,Low,No,No,Graduate,9.9,2,High,Poor
69,4.9,65,66,5.5,Medium,Yes,Yes,School,7.1,4,Medium,Average
72,4.7,54,57,5.4,Medium,Yes,Yes,School,7.1,3,Medium,Average
95,7.0,92,99,8.7,High,Yes,Yes,Postgraduate,1.1,7,Low,Excellent
61,3.4,52,55,5.6,Low,Yes,Yes,Graduate,4.3,5,High,Average
95,7.4,95,100,7.6,High,Yes,Yes,Postgraduate,1.3,10,Low,Excellent
66,4.9,56,68,6.1,Medium,Yes,Yes,School,6.6,4,Medium,Average
53,1.6,48,35,5.2,Low,Yes,No,School,8.6,0,High,Poor
71,3.5,69,53,6.8,Medium,Yes,Yes,School,7.3,3,High,Average
87,7.8,87,88,7.8,High,Yes,Yes,Postgraduate,2.8,9,Low,Excellent
